"Index","Href","ResolvedUrl","DownloadUrl","Kind"
"1","http://saifmohammad.com","http://saifmohammad.com/","http://saifmohammad.com/","web"
"2","http://saifmohammad.com/WebPages/ResearchAreas.html","http://saifmohammad.com/WebPages/ResearchAreas.html","http://saifmohammad.com/WebPages/ResearchAreas.html","web"
"3","http://saifmohammad.com/WebPages/ResearchInterests.html","http://saifmohammad.com/WebPages/ResearchInterests.html","http://saifmohammad.com/WebPages/ResearchInterests.html","web"
"4","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","web"
"5","http://saifmohammad.com/WebPages/SentimentEmotionLabeledData.html","http://saifmohammad.com/WebPages/SentimentEmotionLabeledData.html","http://saifmohammad.com/WebPages/SentimentEmotionLabeledData.html","web"
"6","http://saifmohammad.com/WebPages/invitedtalks.html","http://saifmohammad.com/WebPages/invitedtalks.html","http://saifmohammad.com/WebPages/invitedtalks.html","web"
"7","http://saifmohammad.com/WebPages/contact.htm","http://saifmohammad.com/WebPages/contact.htm","http://saifmohammad.com/WebPages/contact.htm","web"
"8","../WebDocs/EmoLex-Ethics-Data-Statement.pdf","https://saifmohammad.com/WebDocs/EmoLex-Ethics-Data-Statement.pdf","https://saifmohammad.com/WebDocs/EmoLex-Ethics-Data-Statement.pdf","web"
"10","https://github.com/Priya22/EmotionDynamics","https://github.com/Priya22/EmotionDynamics","https://github.com/Priya22/EmotionDynamics","github"
"11","https://arxiv.org/abs/2204.04862","https://arxiv.org/abs/2204.04862","https://arxiv.org/abs/2204.04862","web"
"12","../index.html","https://saifmohammad.com/index.html","https://saifmohammad.com/index.html","web"
"13","BestWorst.html","https://saifmohammad.com/WebPages/BestWorst.html","https://saifmohammad.com/WebPages/BestWorst.html","web"
"14","NRC-Emotion-Lexicon.htm","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","web"
"15","http://arxiv.org/pdf/1308.6297.pdf","http://arxiv.org/pdf/1308.6297.pdf","http://arxiv.org/pdf/1308.6297.pdf","web"
"16","Abstracts/crowdemo.bib.txt","https://saifmohammad.com/WebPages/Abstracts/crowdemo.bib.txt","https://saifmohammad.com/WebPages/Abstracts/crowdemo.bib.txt","web"
"17","../WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop.pdf","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop.pdf","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop.pdf","web"
"18","../WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf","web"
"19","AffectIntensity.htm","https://saifmohammad.com/WebPages/AffectIntensity.htm","https://saifmohammad.com/WebPages/AffectIntensity.htm","web"
"20","AffectIntensity.htm","https://saifmohammad.com/WebPages/AffectIntensity.htm","https://saifmohammad.com/WebPages/AffectIntensity.htm","web"
"21","https://arxiv.org/abs/1704.08798","https://arxiv.org/abs/1704.08798","https://arxiv.org/abs/1704.08798","web"
"22","../WebDocs/lrec2018-paper-word-emotion.pdf","https://saifmohammad.com/WebDocs/lrec2018-paper-word-emotion.pdf","https://saifmohammad.com/WebDocs/lrec2018-paper-word-emotion.pdf","web"
"23","Abstracts/AIL.bib.txt","https://saifmohammad.com/WebPages/Abstracts/AIL.bib.txt","https://saifmohammad.com/WebPages/Abstracts/AIL.bib.txt","web"
"24","../WebDocs/LREC2018-word-emo-talk.pdf","https://saifmohammad.com/WebDocs/LREC2018-word-emo-talk.pdf","https://saifmohammad.com/WebDocs/LREC2018-word-emo-talk.pdf","web"
"25","nrc-vad.html","https://saifmohammad.com/WebPages/nrc-vad.html","https://saifmohammad.com/WebPages/nrc-vad.html","web"
"26","../WebDocs/acl2018-VAD.pdf","https://saifmohammad.com/WebDocs/acl2018-VAD.pdf","https://saifmohammad.com/WebDocs/acl2018-VAD.pdf","web"
"27","../WebPages/Abstracts/vad-acl18.bib.txt","https://saifmohammad.com/WebPages/Abstracts/vad-acl18.bib.txt","https://saifmohammad.com/WebPages/Abstracts/vad-acl18.bib.txt","web"
"28","../worrywords.html","https://saifmohammad.com/worrywords.html","https://saifmohammad.com/worrywords.html","web"
"29","../worrywords.html","https://saifmohammad.com/worrywords.html","https://saifmohammad.com/worrywords.html","web"
"30","../WebDocs/worrywords-emnlp2024.pdf","https://saifmohammad.com/WebDocs/worrywords-emnlp2024.pdf","https://saifmohammad.com/WebDocs/worrywords-emnlp2024.pdf","web"
"31","../WebPages/Abstracts/worrywords-emnlp2024.bib.txt","https://saifmohammad.com/WebPages/Abstracts/worrywords-emnlp2024.bib.txt","https://saifmohammad.com/WebPages/Abstracts/worrywords-emnlp2024.bib.txt","web"
"32","../WebDocs/WorryWords-poster.pdf","https://saifmohammad.com/WebDocs/WorryWords-poster.pdf","https://saifmohammad.com/WebDocs/WorryWords-poster.pdf","web"
"33","warmth.html","https://saifmohammad.com/WebPages/warmth.html","https://saifmohammad.com/WebPages/warmth.html","web"
"34","warmth.html","https://saifmohammad.com/WebPages/warmth.html","https://saifmohammad.com/WebPages/warmth.html","web"
"35","https://www.arxiv.org/abs/2506.03993","https://www.arxiv.org/abs/2506.03993","https://www.arxiv.org/abs/2506.03993","web"
"36","http://saifmohammad.com/WebPages/SCL.html#NMA","http://saifmohammad.com/WebPages/SCL.html#NMA","http://saifmohammad.com/WebPages/SCL.html","web"
"37","../WebDocs/SCL-NMA-wassa2016.pdf","https://saifmohammad.com/WebDocs/SCL-NMA-wassa2016.pdf","https://saifmohammad.com/WebDocs/SCL-NMA-wassa2016.pdf","web"
"38","Abstracts/scl-nma-wassa.bib.txt","https://saifmohammad.com/WebPages/Abstracts/scl-nma-wassa.bib.txt","https://saifmohammad.com/WebPages/Abstracts/scl-nma-wassa.bib.txt","web"
"39","../WebDocs/WASSA-2016-SCL-NMA.pdf","https://saifmohammad.com/WebDocs/WASSA-2016-SCL-NMA.pdf","https://saifmohammad.com/WebDocs/WASSA-2016-SCL-NMA.pdf","web"
